"Candidate","Human","Seshat"
"1027661","0.5","2.12"
"1027353","0","3.55"
"1027512","4","3.75"
"1027580","2","4.15"
"1027604","0.5","1.25"
"1027655","3.5","3.95"
"1027333","4","4.03"
"1027346","3.5","4.38"
"1027460","0","-1"
"1027532","0.5","3.55"
"1027539","4","4.15"
"1027597","3","4.15"
"1027320","3","-1"
"1027342","3","3.95"
"1027440","2.5","4.15"
"1027498","3","4.15"
"1027347","4","3.95"
"1027391","3","3.95"
"1027481","0.5","2.80"
"1027325","4","4.15"
"1027476","4","4.30"
"1027529","3","4.03"
"1027545","3","3.80"
"1027589","3.5","4.22"
"1027640","3.5","3.75"
"1027383","3","4.15"
"1027456","3.5","4.15"
"1027566","4","4.15"
"1027594","3.5","2.70"
"1027465","2.5","4.15"
"1027502","0.5","2.10"
"1027527","4","4.15"
"1027337","4","4.30"
"1027360","0","2.37"
"1027418","3","3.62"
"1027434","1","4.15"
"1027492","3","2.10"
"1027596","3","4.15"
"1027444","4","4.15"
"1027349","4","4.15"
"1027336","2.5","3.75"
"1027330","3","3.70"
"1027421","1.5","2.70"
"1027516","2.5","4.15"
"1027324","3.5","3.95"
"1027340","2.5","4.15"
"1027429","3","3.75"
"1027557","1","3.22"
"1027584","4","4.30"
"1027613","4","2.90"
"1027526","3.5","3.95"
"1027551","3.5","4.22"
"1027582","0","2.70"
"1027602","2.5","4.15"
"1027662","4","3.70"
"1027663","4","3.70"
"1027680","3","2.70"
"1027462","0.5","1.92"
"1027521","4","4.15"
"1027355","4","3.88"
"1027361","3.5","4.03"
"1027431","4","4.03"
"1027445","3","4.15"
"1027495","0","1.35"
"1027524","1","3.00"
"1027591","0","-1"
"1027600","3.5","3.20"
"1027351","3","2.70"
"1027619","4","4.15"
"1027356","3","4.15"
"1027368","2","3.95"
"1027423","3.5","2.90"
"1027424","3.5","4.22"
"1027493","3.5","3.95"
"1027612","3.5","3.55"
"1027344","0.5","1.25"
"1027335","3.5","3.95"
"1027407","3.5","4.30"
"1027433","4","4.38"
"1027446","1","2.40"
"1027451","0.5","3.00"
"1027509","0","4.15"
"1027579","3","4.38"
"1027348","1.5","3.02"
"1027535","1","3.55"
"1027546","4","4.30"
"1027630","4","4.38"
"1027674","3.5","3.20"
"1027352","3.5","3.83"
"1027482","3","2.90"
"1027490","1","3.75"
"1027548","3","3.62"
"1027397","1","3.95"
"1027420","0.5","2.40"
"1027564","4","4.22"
"1027332","3.5","3.20"
"1027322","3.5","4.15"
"1027528","3","2.90"
"1027586","2.5","4.15"
"1027656","3.5","4.22"
"1027667","3.5","4.15"
"1027373","2.5","2.70"
"1027448","4","4.38"
"1027468","0","2.70"
"1027494","0.5","2.20"
"1027506","3","4.15"
"1027376","4","4.15"
"1027386","3.5","4.22"
"1027474","2.5","4.15"
"1027484","3","1.65"
"1027687","4","4.03"
"1027385","2","3.20"
"1027426","2.5","4.30"
"1027436","0.5","3.75"
"1027452","2","4.22"
"1027449","3","4.15"
"1027507","3","4.15"
"1027508","3","4.30"
"1027654","3.5","4.15"
"1027362","3.5","4.15"
"1027369","2","4.22"
"1027379","3.5","4.15"
"1027438","3.5","4.15"
"1027675","4","2.77"
"1027389","0","2.60"
"1027547","3.5","4.38"
"1027559","3.5","2.70"
"1027660","0.5","2.20"
"1027677","3","3.95"
"1027683","3.5","4.22"
"1027321","3.5","-1"
"1027327","2.5","4.03"
"1027357","3.5","4.15"
"1027461","3","3.35"
"1027510","4","4.38"
"1027562","0","3.10"
"1027611","3","3.55"
"1027648","4","4.08"
"1027396","3","3.70"
"1027503","3.5","4.15"
"1027536","2.5","2.20"
"1027541","4","3.95"
"1027428","4","4.03"
"1027607","4","2.70"
"1027608","0.5","2.15"
"1027627","3.5","2.70"
"1027639","3","4.15"
"1027453","4","4.22"
"1027644","3.5","4.22"
"1027409","1","3.75"
"1027417","3","4.15"
"1027555","0.5","2.70"
"1027599","0.5","4.15"
"1027573","3.5","4.15"
"1027651","0","3.75"
"1027359","3","3.35"
"1027435","4","3.95"
"1027480","2","1.95"
"1027672","3.5","4.15"
"1027463","3","3.70"
"1027472","3.5","3.95"
"1027404","3","4.15"
"1027478","3.5","2.70"
"1027488","3","4.15"
"1027553","4","4.15"
"1027341","0.5","2.35"
"1027354","4","4.03"
"1027515","0.5","2.00"
"1027343","3","4.15"
"1027328","3.5","3.95"
"1027416","3.5","3.95"
"1027442","4","2.97"
"1027525","1","1.45"
"1027513","3.5","4.22"
"1027518","4","4.15"
"1027598","3","3.95"
"1027615","0.5","2.45"
"1027658","3.5","4.15"
"1027659","0.5","2.05"
"1027390","4","4.22"
"1027401","3","4.15"
"1027581","3.5","4.15"
"1027331","1","2.23"
"1027517","0.5","2.75"
"1027558","3","4.15"
"1027485","4","2.50"
"1027519","3.5","4.15"
"1027531","3","3.70"
"1027537","3","4.15"
"1027542","3","3.10"
"1027549","1","3.95"
"1027464","3.5","4.15"
"1027543","2.5","4.15"
"1027593","1","3.15"
"1027387","3.5","3.55"
"1027568","4","4.15"
"1027666","0","-1"
"1027577","3","4.30"
"1027618","3","2.70"
"1027645","4","4.15"
"1027350","2.5","3.95"
"1027398","2.5","4.15"
"1027489","1","3.75"
"1027634","0.5","2.45"
"1027681","3","4.15"
"1027378","0.5","2.48"
