"Candidate","Human","Autograder"
"149423","28","16"
"97679","16","17"
"149474","28","27"
"144512","20","25"
"150977","36.5","38"
"149652","30.5","25"
"149918","36","31"
"148532","22","20"
"148887","30.5","31"
"149814","34.5","40"
"149728","34","30"
"149689","29.5","31"
"150402","21","23"
"149618","31.5","34"
"150051","29","29"
"147904","27","30"
"144261","28.5","30"
"142624","35.5","32"
"150238","38","34"
"150411","21","13"
"149611","32","33"
"150422","35.5","37"
"150901","28.5","29"
"143509","23.5","22"
"150683","32.5","33"
"143666","26","27"
"150192","34","27"
"150312","18","19"
"149933","32","34"
"150464","33","22"
"150194","33.5","32"
"123723","11","9"
"149705","23","23"
"150063","38.5","37"
"150616","33.8","29"
"91459","27","31"
"149047","31.5","32"
"149190","33","33"
"93649","37.5","39"
"148588","22.5","25"
"123763","19","19"
"148369","31","31"
"149966","33","25"
"146798","37","37"
"149691","28","22"
"54286","35.5","31"
"149762","36","32"
"150530","36","26"
"98009","35","32"
"150123","19","27"
"144645","28.5","27"
"142554","30","28"
"148587","9","7"
"150187","29","27"
"98609","24","28"
"144638","32","30"
"148644","35.5","29"
"150093","29.5","27"
"123698","20","17"
"148796","38","21"
"149836","28","29"
"143148","23","24"
"149516","30","31"
"150524","31.5","24"
"148893","21.5","34"
"123768","31.5","25"
"148811","31","30"
"147612","31","25"
"148622","28","29"
"146013","33","35"
"150908","29.5","22"
"144054","19","20"
"147539","27.5","29"
"99884","20","27"
"150240","37","35"
"147948","35","33"
"142868","26.5","26"
"149686","24.5","24"
"78924","39","34"
"149133","34","28"
"150631","36","33"
"150246","34","34"
"150542","24","24"
"149844","26","23"
"149373","32","28"
"148247","24.5","21"
"149687","38","36"
"148415","37.5","37"
"148080","28","24"
"149620","32.5","34"
"142064","33","28"
"38767","31","34"
