"Candidate","Human","Autograder"
"1027654","2","4"
"1027516","3.5","1"
"1027568","1","1"
"1027485","2","3"
"1027542","2.5","3"
"1027573","2","3"
"1027672","1.5","3"
"1027398","4","4"
"1027608","3","4"
"1027668","3","5"
"1027328","1","1"
"1027461","1","4"
"1027546","2","3"
"1027564","1","5"
"1027596","3.5","5"
"1027666","0","-1"
"1027372","2.5","4"
"1027502","4","2"
"1027559","4","5"
"1027498","2","3"
"1027332","2","3"
"1027360","1","2"
"1027477","1.5","2"
"1027491","5","2"
"1027446","1.5","5"
"1027562","2.5","2"
"1027612","2","3"
"1027653","4","4"
"1027663","2.5","4"
"1027435","3","4"
"1027457","2","2"
"1027687","4","3"
"1027472","2.5","4"
"1027341","2","3"
"1027349","2.5","3"
"1027515","4","5"
"1027557","0","6"
"1027656","3","3"
"1027453","1.5","4"
"1027459","1.5","2"
"1027324","3","4"
"1027373","3.5","2"
"1027376","2.5","5"
"1027362","4.5","3"
"1027420","0.5","3"
"1027518","3.5","4"
"1027549","4","5"
"1027651","2","2"
"1027322","4","6"
"1027551","4","5"
"1027386","2.5","1"
"1027424","2","3"
"1027444","2","5"
"1027480","2.5","4"
"1027361","3","3"
"1027541","1.5","2"
"1027547","3.5","3"
"1027630","1.5","3"
"1027325","3.5","3"
"1027350","2","4"
"1027438","4","3"
"1027527","3","4"
"1027581","4.5","3"
"1027634","4.5","4"
"1027535","2","4"
"1027553","1.5","3"
"1027558","4","4"
"1027665","1.5","4"
"1027646","2","5"
"1027509","1","2"
"1027537","2","3"
"1027555","0","1"
"1027566","3","4"
"1027464","2","2"
"1027533","4.5","3"
"1027421","1.5","5"
"1027449","0.5","2"
"1027481","3.5","5"
"1027336","1.5","2"
"1027345","3","3"
"1027395","2","3"
"1027691","1","4"
"1027397","1.5","4"
"1027580","1.5","4"
"1027488","2.5","2"
"1027490","1.5","1"
"1027525","2","4"
"1027680","3","2"
"1027379","0.5","3"
"1027396","1.5","2"
"1027456","2","4"
"1027460","2.5","3"
"1027584","1.5","2"
"1027358","2","2"
"1027359","4","4"
"1027482","1.5","4"
"1027539","3.5","2"
"1027543","3","5"
"1027548","2.5","4"
"1027589","3","3"
"1027599","1","4"
"1027401","2","3"
"1027508","0","3"
"1027615","1.5","4"
"1027619","2","4"
"1027661","3","2"
"1027391","3","3"
"1027517","3","5"
"1027526","3","1"
"1027357","2","4"
"1027493","3.5","3"
"1027501","1","1"
"1027522","2","2"
"1027528","2","2"
"1027662","3.5","5"
"1027681","0","2"
"1027356","2.5","5"
"1027409","1","3"
"1027499","1","6"
"1027579","1","4"
"1027597","2.5","4"
"1027494","3","1"
"1027582","2","3"
"1027659","1","5"
"1027337","1.5","3"
"1027418","2.5","2"
"1027422","3","4"
"1027436","3.5","2"
"1027339","1.5","3"
"1027351","3.5","4"
"1027383","2","4"
"1027416","3.5","3"
"1027510","2","2"
"1027512","2","2"
"1027667","1","3"
"1027428","2.5","3"
"1027443","5","4"
"1027679","3","4"
"1027426","1.5","4"
"1027519","1","3"
"1027331","1","3"
"1027433","1","4"
"1027492","2","4"
"1027570","4","4"
"1027576","1","5"
"1027591","2.5","3"
"1027342","2.5","2"
"1027478","2.5","3"
"1027474","1","3"
"1027343","4.5","3"
"1027344","2","3"
"1027465","1.5","3"
"1027583","1","2"
"1027448","2","3"
"1027495","3","4"
"1027507","4","4"
"1027390","1","2"
"1027404","2.5","3"
"1027427","3","4"
"1027677","1.5","2"
"1027640","0.5","2"
"1027463","1.5","5"
"1027353","1","1"
"1027368","1.5","5"
"1027434","2","2"
"1027607","2","2"
"1027327","4","3"
"1027431","3.5","5"
"1027451","2","1"
"1027521","2.5","5"
"1027531","3","2"
"1027577","1","3"
"1027439","1.5","3"
"1027442","1.5","2"
"1027506","1.5","2"
"1027326","2","3"
"1027408","4","4"
"1027447","0.5","5"
"1027600","4.5","3"
"1027417","3.5","3"
"1027445","1","2"
"1027550","2","5"
"1027602","3.5","3"
"1027389","2.5","4"
"1027476","1","5"
"1027532","1.5","1"
"1027611","0.5","5"
"1027683","4","3"
"1027333","2","3"
"1027355","2.5","3"
"1027524","2","5"
"1027387","2","2"
"1027352","2","6"
"1027370","3","2"
"1027423","1.5","2"
"1027593","1","2"
"1027658","0.5","0"
"1027586","0.5","3"
"1027618","1","3"
"1027639","1.5","4"
"1027321","5","3"
"1027399","1","3"
"1027545","1","4"
"1027594","4","5"
"1027613","2.5","3"
"1027378","0.5","2"
"1027440","2.5","3"
"1027462","1","2"
"1027347","3","3"
"1027429","2.5","4"
"1027489","1.5","5"
"1027534","2","4"
"1027675","2.5","3"
"1027377","4.5","4"
"1027385","2","2"
"1027407","1","0"
"1027452","1.5","3"
"1027470","0.5","3"
"1027486","4","3"
"1027598","2.5","4"
"1027346","3.5","3"
"1027513","2.5","3"
"1027536","0.5","3"
"1027645","2","4"
"1027648","1","5"
"1027468","0","4"
"1027348","4.5","4"
"1027354","4.5","4"
"1027529","3","4"
"1027674","2","5"
"1027503","3","4"
"1027604","3","6"
"1027320","2","2"
"1027330","4.5","4"
"1027340","1","4"
"1027655","4.5","3"
"1027660","2.5","3"
"1027335","2","4"
"1027369","0","2"
"1027382","2.5","4"
"1027644","2","4"
"1027484","4","4"
"1027627","3","2"
